job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,ai research scientist,90376,USD,SE,CT,China,M,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics
AI00002,ai software engineer,61895,USD,EN,CT,Canada,M,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,media,2024-11-20,2025-01-11,1268,5.2,Techcorp Inc
AI00003,ai specialist,152626,USD,MI,FL,Switzerland,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech
AI00004,nlp engineer,80215,USD,SE,FL,India,M,India,50,"Scala, SQL, Linux, Python",PhD,7,consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems
AI00005,ai consultant,54624,EUR,EN,PT,France,S,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics
AI00006,ai architect,123574,EUR,SE,CT,Germany,M,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co
AI00007,principal data scientist,79670,GBP,MI,FL,United Kingdom,S,United Kingdom,0,"R, Docker, MLOps",Associate,3,gaming,2024-12-29,2025-02-28,1936,6.3,Datavision Ltd
AI00008,nlp engineer,70640,EUR,EN,FL,France,L,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud Ai Solutions
AI00009,data analyst,160710,USD,SE,CT,Singapore,L,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc
AI00010,ai software engineer,102557,USD,SE,PT,Austria,M,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,government,2024-10-20,2024-11-06,2340,5.8,Cloud Ai Solutions
AI00011,autonomous systems engineer,102322,USD,SE,PT,Sweden,M,Sweden,100,"MLOps, Python, SQL",Associate,8,telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics
AI00012,ai architect,115047,USD,EX,CT,South Korea,S,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,manufacturing,2024-07-16,2024-08-19,513,6.8,Techcorp Inc
AI00013,ai consultant,124355,EUR,SE,CT,France,M,France,100,"Tableau, Python, TensorFlow",PhD,5,automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems
AI00014,autonomous systems engineer,68760,USD,EN,CT,Norway,S,Norway,0,"Scala, SQL, Statistics",Master,0,energy,2024-02-11,2024-02-25,1657,9.1,Cloud Ai Solutions
AI00015,ai research scientist,150122,USD,SE,FT,Sweden,M,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics
AI00016,ai product manager,78846,GBP,EN,PT,United Kingdom,L,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,consulting,2024-09-28,2024-10-26,2059,9.6,Datavision Ltd
AI00017,principal data scientist,59823,USD,EN,FT,India,L,India,100,"Tableau, NLP, Spark",Bachelor,1,real estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems
AI00018,machine learning engineer,181139,EUR,EX,CT,France,L,France,100,"MLOps, PyTorch, Azure",Associate,15,real estate,2024-04-24,2024-06-03,2142,8.7,Ai Innovations
AI00019,data engineer,155300,USD,SE,CT,Singapore,M,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions
AI00020,research scientist,93851,EUR,MI,PT,Netherlands,L,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,transportation,2024-05-01,2024-07-02,1809,6.7,Ai Innovations
AI00021,data engineer,134197,USD,MI,FT,Norway,M,France,0,"Deep Learning, AWS, Azure",Bachelor,3,telecommunications,2024-06-21,2024-08-28,969,9.6,Ai Innovations
AI00022,autonomous systems engineer,102550,USD,MI,PT,United States,M,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing
AI00023,ml ops engineer,99382,EUR,SE,CT,Germany,S,Germany,0,"Hadoop, Git, Tableau",PhD,7,automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc
AI00024,ai product manager,52167,USD,MI,FT,Austria,M,Ireland,100,"Git, Hadoop, Docker",Master,4,telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud Ai Solutions
AI00025,ml ops engineer,53923,USD,MI,FT,China,S,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,healthcare,2024-10-27,2024-11-18,1006,7.4,Ai Innovations
AI00026,robotics engineer,109779,USD,SE,PT,Israel,L,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,government,2024-08-01,2024-10-02,1146,8.8,Datavision Ltd
AI00027,ml ops engineer,80979,USD,MI,CT,Australia,S,India,50,"Hadoop, Linux, Git, Scala",Master,2,media,2024-11-18,2025-01-18,2109,7.7,Techcorp Inc
AI00028,data analyst,52997,USD,MI,PT,Austria,M,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems
AI00029,head of ai,42819,USD,EN,CT,Ireland,M,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing
